platform,group,metric_key,display_name,symbol_or_short_name,mathematical_definition,physical_meaning,unit,inputs_required,implementation_status,notes
VMAT_IMRT,Leaf travel,lna_mlcx1,LNA MLCX1,LNA MLCX1,"Same formula as LNA, but computed using MLCX1 apertures only.",Leaf travel per involved leaf and per unit gantry travel. Reported for MLCX1.,mm/(leaf*deg),"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LNA.
VMAT_IMRT,Leaf travel,lna_mlcx2,LNA MLCX2,LNA MLCX2,"Same formula as LNA, but computed using MLCX2 apertures only.",Leaf travel per involved leaf and per unit gantry travel. Reported for MLCX2.,mm/(leaf*deg),"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LNA.
VMAT_IMRT,Arc geometry,cal,CAL,CAL,CAL = total gantry travel / N_control_arcs,Average control-arc length between successive control points.,deg/control arc,Beam gantry rotation angle and beam MU,implemented,
VMAT_IMRT,Arc geometry,gt,GT,GT,GT = sum_beams(abs(gantry rotation angle)),Total gantry travel delivered by the plan.,deg,Beam gantry rotation angle and beam MU,implemented,
VMAT_IMRT,Arc geometry,mudeg,MUdeg,MUdeg,MUdeg = MUs / GT,Monitor units delivered per degree of gantry rotation.,MU/deg,Beam gantry rotation angle and beam MU,implemented,
VMAT_IMRT,Leaf travel,ltal,LTAL,LTAL,LTAL = weighted mean of (leaf travel / gantry-step),Leaf travel normalized by unit gantry angle.,mm/deg,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Leaf travel,ltal_mlcx1,LTAL MLCX1,LTAL MLCX1,"Same formula as LTAL, but computed using MLCX1 apertures only.",Leaf travel normalized by unit gantry angle. Reported for MLCX1.,mm/deg,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LTAL.
VMAT_IMRT,Leaf travel,ltal_mlcx2,LTAL MLCX2,LTAL MLCX2,"Same formula as LTAL, but computed using MLCX2 apertures only.",Leaf travel normalized by unit gantry angle. Reported for MLCX2.,mm/deg,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LTAL.
VMAT_IMRT,Plan prescription,narcs,NArcs,NArcs,NArcs = number of treatment beams/arcs,Number of treatment arcs or beams contributing to the plan.,count,"Plan MU, prescription, fraction count, beam list",implemented,
VMAT_IMRT,Delivery dynamics,mdrv,mDRV,mDRV,mDRV = mean(delta dose-rate / delta gantry),Mean variation of dose rate during delivery.,MU/(min*deg),"Control-point MLC motion, dose rate, gantry angle, and meterset timing",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Delivery dynamics,mdrv_mlcx1,mDRV MLCX1,mDRV MLCX1,"Same formula as mDRV, but computed using MLCX1 apertures only.",Mean variation of dose rate during delivery. Reported for MLCX1.,MU/(min*deg),"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for mDRV.
VMAT_IMRT,Delivery dynamics,mdrv_mlcx2,mDRV MLCX2,mDRV MLCX2,"Same formula as mDRV, but computed using MLCX2 apertures only.",Mean variation of dose rate during delivery. Reported for MLCX2.,MU/(min*deg),"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for mDRV.
VMAT_IMRT,Delivery dynamics,mgsv,mGSV,mGSV,mGSV = mean(delta gantry-speed / delta gantry),Mean variation of gantry speed during delivery.,deg/s/deg,"Control-point MLC motion, dose rate, gantry angle, and meterset timing",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Delivery dynamics,mgsv_mlcx1,mGSV MLCX1,mGSV MLCX1,"Same formula as mGSV, but computed using MLCX1 apertures only.",Mean variation of gantry speed during delivery. Reported for MLCX1.,deg/s/deg,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for mGSV.
VMAT_IMRT,Delivery dynamics,mgsv_mlcx2,mGSV MLCX2,mGSV MLCX2,"Same formula as mGSV, but computed using MLCX2 apertures only.",Mean variation of gantry speed during delivery. Reported for MLCX2.,deg/s/deg,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for mGSV.
VMAT_IMRT,Delivery dynamics,dr,DR,DR,DR = mean(control-point dose rate),Average dose rate used during delivery.,MU/min,"Control-point MLC motion, dose rate, gantry angle, and meterset timing",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Delivery dynamics,dr_mlcx1,DR MLCX1,DR MLCX1,"Same formula as DR, but computed using MLCX1 apertures only.",Average dose rate used during delivery. Reported for MLCX1.,MU/min,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for DR.
VMAT_IMRT,Delivery dynamics,dr_mlcx2,DR MLCX2,DR MLCX2,"Same formula as DR, but computed using MLCX2 apertures only.",Average dose rate used during delivery. Reported for MLCX2.,MU/min,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for DR.
VMAT_IMRT,Delivery dynamics,gs,GS,GS,GS = mean(control-point gantry speed),Average gantry speed during arc delivery.,deg/s,"Control-point MLC motion, dose rate, gantry angle, and meterset timing",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Delivery dynamics,gs_mlcx1,GS MLCX1,GS MLCX1,"Same formula as GS, but computed using MLCX1 apertures only.",Average gantry speed during arc delivery. Reported for MLCX1.,deg/s,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for GS.
VMAT_IMRT,Delivery dynamics,gs_mlcx2,GS MLCX2,GS MLCX2,"Same formula as GS, but computed using MLCX2 apertures only.",Average gantry speed during arc delivery. Reported for MLCX2.,deg/s,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for GS.
VMAT_IMRT,Delivery dynamics,ls,LS,LS,LS = mean(leaf speed),Average leaf speed during delivery.,mm/s,"Control-point MLC motion, dose rate, gantry angle, and meterset timing",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Delivery dynamics,ls_mlcx1,LS MLCX1,LS MLCX1,"Same formula as LS, but computed using MLCX1 apertures only.",Average leaf speed during delivery. Reported for MLCX1.,mm/s,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LS.
VMAT_IMRT,Delivery dynamics,ls_mlcx2,LS MLCX2,LS MLCX2,"Same formula as LS, but computed using MLCX2 apertures only.",Average leaf speed during delivery. Reported for MLCX2.,mm/s,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LS.
VMAT_IMRT,McNiven-style modulation,mcsv,MCSv,MCSv,MCSv = weighted mean[((AAV_i + AAV_{i+1}) / 2) * ((LSV_i + LSV_{i+1}) / 2)],Overall aperture modulation score combining area and leaf sequence variability.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,McNiven-style modulation,mcsv_mlcx1,MCSv MLCX1,MCSv MLCX1,"Same formula as MCSv, but computed using MLCX1 apertures only.",Overall aperture modulation score combining area and leaf sequence variability. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for MCSv.
VMAT_IMRT,McNiven-style modulation,mcsv_mlcx2,MCSv MLCX2,MCSv MLCX2,"Same formula as MCSv, but computed using MLCX2 apertures only.",Overall aperture modulation score combining area and leaf sequence variability. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for MCSv.
VMAT_IMRT,McNiven-style modulation,aav,AAV,AAV,"AAV = aperture area / arc-level union aperture area, then weighted over the arc",Variability of aperture area across control points.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,McNiven-style modulation,aav_mlcx1,AAV MLCX1,AAV MLCX1,"Same formula as AAV, but computed using MLCX1 apertures only.",Variability of aperture area across control points. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for AAV.
VMAT_IMRT,McNiven-style modulation,aav_mlcx2,AAV MLCX2,AAV MLCX2,"Same formula as AAV, but computed using MLCX2 apertures only.",Variability of aperture area across control points. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for AAV.
VMAT_IMRT,McNiven-style modulation,lsv,LSV,LSV,"LSV = bank_LSV(left) * bank_LSV(right), then weighted over the arc",Variability of the leaf sequence pattern across the aperture.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,McNiven-style modulation,lsv_mlcx1,LSV MLCX1,LSV MLCX1,"Same formula as LSV, but computed using MLCX1 apertures only.",Variability of the leaf sequence pattern across the aperture. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LSV.
VMAT_IMRT,McNiven-style modulation,lsv_mlcx2,LSV MLCX2,LSV MLCX2,"Same formula as LSV, but computed using MLCX2 apertures only.",Variability of the leaf sequence pattern across the aperture. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LSV.
VMAT_IMRT,McNiven-style modulation,tg,TG,TG,TG = weighted mean of adjacent-leaf left/right offset magnitudes,Average tongue-and-groove offset between neighboring leaves.,mm,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,McNiven-style modulation,tg_mlcx1,TG MLCX1,TG MLCX1,"Same formula as TG, but computed using MLCX1 apertures only.",Average tongue-and-groove offset between neighboring leaves. Reported for MLCX1.,mm,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for TG.
VMAT_IMRT,McNiven-style modulation,tg_mlcx2,TG MLCX2,TG MLCX2,"Same formula as TG, but computed using MLCX2 apertures only.",Average tongue-and-groove offset between neighboring leaves. Reported for MLCX2.,mm,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for TG.
VMAT_IMRT,MI family,mi_0_2,MI(0.2),MI(0.2),"MI(k=0.2) = (MIs, MIa, MIt) at threshold factor k = 0.2",Modulation index using a 0.2 threshold factor.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"The base key returns a tuple of speed, acceleration, and total MI components before flattening."
VMAT_IMRT,MI components,mi_0_2_mis,MI(0.2) Speed,MI(0.2) Speed,"MIs(0.2) = mean_beams[ mean_CP min(v / sigma_v, 0.2) ]",Leaf speed contribution to the modulation index with threshold factor 0.2.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_0_2_mia,MI(0.2) Acceleration,MI(0.2) Acceleration,"MIa(0.2) = mean_beams[ mean_CP min(max(v / sigma_v, a / (alpha * sigma_a)), 0.2) ]",Leaf acceleration contribution to the modulation index with threshold factor 0.2.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_0_2_mit,MI(0.2) Total,MI(0.2) Total,"MIt(0.2) = weighted mean over control points of min(max(v / sigma_v, a / (alpha * sigma_a)), 0.2)",Total modulation index with threshold factor 0.2.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_0_2_mlcx1_mis,MI(0.2) MLCX1 Speed,MI(0.2) MLCX1 Speed,"Same speed-component MI formula as MI(0.2), but restricted to MLCX1 leaf positions.",Leaf speed contribution to the modulation index with threshold factor 0.2 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_0_2_mlcx1_mia,MI(0.2) MLCX1 Acceleration,MI(0.2) MLCX1 Acceleration,"Same acceleration-component MI formula as MI(0.2), but restricted to MLCX1 leaf positions.",Leaf acceleration contribution to the modulation index with threshold factor 0.2 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_0_2_mlcx1_mit,MI(0.2) MLCX1 Total,MI(0.2) MLCX1 Total,"Same total-component MI formula as MI(0.2), but restricted to MLCX1 leaf positions.",Total modulation index with threshold factor 0.2 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_0_2_mlcx2_mis,MI(0.2) MLCX2 Speed,MI(0.2) MLCX2 Speed,"Same speed-component MI formula as MI(0.2), but restricted to MLCX2 leaf positions.",Leaf speed contribution to the modulation index with threshold factor 0.2 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
VMAT_IMRT,MI components,mi_0_2_mlcx2_mia,MI(0.2) MLCX2 Acceleration,MI(0.2) MLCX2 Acceleration,"Same acceleration-component MI formula as MI(0.2), but restricted to MLCX2 leaf positions.",Leaf acceleration contribution to the modulation index with threshold factor 0.2 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
VMAT_IMRT,MI components,mi_0_2_mlcx2_mit,MI(0.2) MLCX2 Total,MI(0.2) MLCX2 Total,"Same total-component MI formula as MI(0.2), but restricted to MLCX2 leaf positions.",Total modulation index with threshold factor 0.2 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
VMAT_IMRT,MI family,mi_0_5,MI(0.5),MI(0.5),"MI(k=0.5) = (MIs, MIa, MIt) at threshold factor k = 0.5",Modulation index using a 0.5 threshold factor.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"The base key returns a tuple of speed, acceleration, and total MI components before flattening."
VMAT_IMRT,MI components,mi_0_5_mis,MI(0.5) Speed,MI(0.5) Speed,"MIs(0.5) = mean_beams[ mean_CP min(v / sigma_v, 0.5) ]",Leaf speed contribution to the modulation index with threshold factor 0.5.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_0_5_mia,MI(0.5) Acceleration,MI(0.5) Acceleration,"MIa(0.5) = mean_beams[ mean_CP min(max(v / sigma_v, a / (alpha * sigma_a)), 0.5) ]",Leaf acceleration contribution to the modulation index with threshold factor 0.5.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_0_5_mit,MI(0.5) Total,MI(0.5) Total,"MIt(0.5) = weighted mean over control points of min(max(v / sigma_v, a / (alpha * sigma_a)), 0.5)",Total modulation index with threshold factor 0.5.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_0_5_mlcx1_mis,MI(0.5) MLCX1 Speed,MI(0.5) MLCX1 Speed,"Same speed-component MI formula as MI(0.5), but restricted to MLCX1 leaf positions.",Leaf speed contribution to the modulation index with threshold factor 0.5 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_0_5_mlcx1_mia,MI(0.5) MLCX1 Acceleration,MI(0.5) MLCX1 Acceleration,"Same acceleration-component MI formula as MI(0.5), but restricted to MLCX1 leaf positions.",Leaf acceleration contribution to the modulation index with threshold factor 0.5 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_0_5_mlcx1_mit,MI(0.5) MLCX1 Total,MI(0.5) MLCX1 Total,"Same total-component MI formula as MI(0.5), but restricted to MLCX1 leaf positions.",Total modulation index with threshold factor 0.5 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_0_5_mlcx2_mis,MI(0.5) MLCX2 Speed,MI(0.5) MLCX2 Speed,"Same speed-component MI formula as MI(0.5), but restricted to MLCX2 leaf positions.",Leaf speed contribution to the modulation index with threshold factor 0.5 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
VMAT_IMRT,MI components,mi_0_5_mlcx2_mia,MI(0.5) MLCX2 Acceleration,MI(0.5) MLCX2 Acceleration,"Same acceleration-component MI formula as MI(0.5), but restricted to MLCX2 leaf positions.",Leaf acceleration contribution to the modulation index with threshold factor 0.5 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
VMAT_IMRT,MI components,mi_0_5_mlcx2_mit,MI(0.5) MLCX2 Total,MI(0.5) MLCX2 Total,"Same total-component MI formula as MI(0.5), but restricted to MLCX2 leaf positions.",Total modulation index with threshold factor 0.5 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
VMAT_IMRT,MI family,mi_1_0,MI(1.0),MI(1.0),"MI(k=1.0) = (MIs, MIa, MIt) at threshold factor k = 1.0",Modulation index using a 1.0 threshold factor.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"The base key returns a tuple of speed, acceleration, and total MI components before flattening."
VMAT_IMRT,MI components,mi_1_0_mis,MI(1.0) Speed,MI(1.0) Speed,"MIs(1.0) = mean_beams[ mean_CP min(v / sigma_v, 1.0) ]",Leaf speed contribution to the modulation index with threshold factor 1.0.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_1_0_mia,MI(1.0) Acceleration,MI(1.0) Acceleration,"MIa(1.0) = mean_beams[ mean_CP min(max(v / sigma_v, a / (alpha * sigma_a)), 1.0) ]",Leaf acceleration contribution to the modulation index with threshold factor 1.0.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_1_0_mit,MI(1.0) Total,MI(1.0) Total,"MIt(1.0) = weighted mean over control points of min(max(v / sigma_v, a / (alpha * sigma_a)), 1.0)",Total modulation index with threshold factor 1.0.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_1_0_mlcx1_mis,MI(1.0) MLCX1 Speed,MI(1.0) MLCX1 Speed,"Same speed-component MI formula as MI(1.0), but restricted to MLCX1 leaf positions.",Leaf speed contribution to the modulation index with threshold factor 1.0 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_1_0_mlcx1_mia,MI(1.0) MLCX1 Acceleration,MI(1.0) MLCX1 Acceleration,"Same acceleration-component MI formula as MI(1.0), but restricted to MLCX1 leaf positions.",Leaf acceleration contribution to the modulation index with threshold factor 1.0 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_1_0_mlcx1_mit,MI(1.0) MLCX1 Total,MI(1.0) MLCX1 Total,"Same total-component MI formula as MI(1.0), but restricted to MLCX1 leaf positions.",Total modulation index with threshold factor 1.0 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_1_0_mlcx2_mis,MI(1.0) MLCX2 Speed,MI(1.0) MLCX2 Speed,"Same speed-component MI formula as MI(1.0), but restricted to MLCX2 leaf positions.",Leaf speed contribution to the modulation index with threshold factor 1.0 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
